,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
0,IndiGo,24-Jan,22:40,01:30 + 1 day,New Delhi,Chennai,Non Stop,2h 50m,"2,341"
1,IndiGo,24-Jan,3:00,5:55,New Delhi,Chennai,Non Stop,2h 55m,"2,341"
2,IndiGo,24-Jan,8:35,11:30,New Delhi,Chennai,Non Stop,2h 55m,"2,341"
3,IndiGo,24-Jan,20:15,23:10,New Delhi,Chennai,Non Stop,2h 55m,"2,341"
4,IndiGo,24-Jan,9:50,12:50,New Delhi,Chennai,Non Stop,3h 00m,"2,341"
5,IndiGo,24-Jan,15:40,18:40,New Delhi,Chennai,Non Stop,3h 00m,"2,341"
6,IndiGo,24-Jan,17:15,20:15,New Delhi,Chennai,Non Stop,3h 00m,"2,341"
7,IndiGo,24-Jan,18:45,21:45,New Delhi,Chennai,Non Stop,3h 00m,"2,341"
8,IndiGo,24-Jan,6:45,12:45,New Delhi,Chennai,1 Stop,6h 00m,"2,343"
9,IndiGo,24-Jan,13:15,19:45,New Delhi,Chennai,1 Stop,6h 30m,"2,343"
10,Air Asia,27-Dec,4:25,6:35,New Delhi,Mumbai,Non Stop,2h 10m,"2,456"
11,Go First,27-Dec,7:00,9:10,New Delhi,Mumbai,Non Stop,2h 10m,"2,456"
12,Go First,27-Dec,8:00,10:10,New Delhi,Mumbai,Non Stop,2h 10m,"2,456"
13,Go First,27-Dec,2:40,4:55,New Delhi,Mumbai,Non Stop,2h 15m,"2,456"
14,SpiceJet,27-Dec,7:20,9:35,New Delhi,Mumbai,Non Stop,2h 15m,"2,456"
15,SpiceJet,27-Dec,18:50,21:05,New Delhi,Mumbai,Non Stop,2h 15m,"2,456"
16,Go First,27-Dec,21:00,23:15,New Delhi,Mumbai,Non Stop,2h 15m,"2,456"
17,SpiceJet,27-Dec,6:30,8:50,New Delhi,Mumbai,Non Stop,2h 20m,"2,456"
18,Go First,27-Dec,10:30,12:50,New Delhi,Mumbai,Non Stop,2h 20m,"2,456"
19,Go First,27-Dec,17:55,20:25,New Delhi,Mumbai,Non Stop,2h 30m,"2,456"
20,IndiGo,23-Jan,15:45,22:50,New Delhi,Goa,1 Stop,7h 05m,"3,940"
21,SpiceJet,23-Jan,7:20,13:00,New Delhi,Goa,1 Stop,5h 40m,"4,326"
22,SpiceJet,23-Jan,6:45,13:00,New Delhi,Goa,1 Stop,6h 15m,"4,326"
23,SpiceJet,23-Jan,6:05,13:00,New Delhi,Goa,1 Stop,6h 55m,"4,326"
24,SpiceJet,23-Jan,8:30,17:05,New Delhi,Goa,1 Stop,8h 35m,"4,326"
25,SpiceJet,23-Jan,7:20,17:05,New Delhi,Goa,1 Stop,9h 45m,"4,326"
26,SpiceJet,23-Jan,6:45,17:05,New Delhi,Goa,1 Stop,10h 20m,"4,326"
27,SpiceJet,23-Jan,6:05,17:05,New Delhi,Goa,1 Stop,11h 00m,"4,326"
28,SpiceJet,23-Jan,7:20,22:25,New Delhi,Goa,1 Stop,15h 05m,"4,326"
29,SpiceJet,23-Jan,6:45,22:25,New Delhi,Goa,1 Stop,15h 40m,"4,326"
30,IndiGo,27-Nov,7:00,11:20,New Delhi,Hyderabad,1 Stop,4h 20m,"3,015"
31,IndiGo,27-Nov,5:30,12:40,New Delhi,Hyderabad,1 Stop,7h 10m,"3,015"
32,IndiGo,27-Nov,5:30,13:15,New Delhi,Hyderabad,1 Stop,7h 45m,"3,015"
33,IndiGo,27-Nov,7:00,17:00,New Delhi,Hyderabad,1 Stop,10h 00m,"3,015"
34,IndiGo,27-Nov,21:20,08:05 + 1 day,New Delhi,Hyderabad,1 Stop,10h 45m,"3,015"
35,Go First,27-Nov,7:20,9:30,New Delhi,Hyderabad,Non Stop,2h 10m,"3,120"
36,IndiGo,27-Nov,7:55,10:10,New Delhi,Hyderabad,Non Stop,2h 15m,"3,120"
37,Go First,27-Nov,19:35,21:50,New Delhi,Hyderabad,Non Stop,2h 15m,"3,120"
38,Vistara,27-Nov,14:45,17:00,New Delhi,Hyderabad,Non Stop,2h 15m,"3,169"
39,Vistara,27-Nov,7:05,9:25,New Delhi,Hyderabad,Non Stop,2h 20m,"3,169"
40,Air India,06-Dec,17:20,20:05,New Delhi,Bangalore,Non Stop,2h 45m,"3,170"
41,SpiceJet,06-Dec,6:15,21:10,New Delhi,Bangalore,1 Stop,14h 55m,"3,881"
42,SpiceJet,06-Dec,18:25,21:10 + 1 day,New Delhi,Bangalore,1 Stop,26h 45m,"3,881"
43,Air India,06-Dec,21:15,23:55,New Delhi,Bangalore,Non Stop,2h 40m,"4,007"
44,Air India,06-Dec,13:30,16:15,New Delhi,Bangalore,Non Stop,2h 45m,"4,007"
45,IndiGo,06-Dec,6:40,12:50,New Delhi,Bangalore,1 Stop,6h 10m,"4,007"
46,IndiGo,06-Dec,6:45,13:30,New Delhi,Bangalore,1 Stop,6h 45m,"4,007"
47,IndiGo,06-Dec,8:10,15:40,New Delhi,Bangalore,1 Stop,7h 30m,"4,007"
48,IndiGo,06-Dec,8:10,17:40,New Delhi,Bangalore,1 Stop,9h 30m,"4,007"
49,IndiGo,06-Dec,11:35,21:35,New Delhi,Bangalore,1 Stop,10h 00m,"4,007"
50,IndiGo,21-Jan,3:00,12:55,New Delhi,Port Blair,1 Stop,9h 55m,"6,455"
51,IndiGo,21-Jan,22:40,07:15 + 1 day,New Delhi,Port Blair,1 Stop,8h 35m,"7,295"
52,IndiGo,21-Jan,20:15,07:15 + 1 day,New Delhi,Port Blair,1 Stop,11h 00m,"7,827"
53,IndiGo,21-Jan,18:45,07:15 + 1 day,New Delhi,Port Blair,1 Stop,12h 30m,"7,827"
54,Go First,21-Jan,19:25,11:00 + 1 day,New Delhi,Port Blair,1 Stop,15h 35m,"9,831"
55,SpiceJet,21-Jan,20:15,09:35 + 1 day,New Delhi,Port Blair,1 Stop,13h 20m,"10,174"
56,SpiceJet,21-Jan,6:10,09:35 + 1 day,New Delhi,Port Blair,1 Stop,27h 25m,"10,174"
57,IndiGo,21-Jan,22:30,08:05 + 1 day,New Delhi,Port Blair,1 Stop,9h 35m,"10,299"
58,IndiGo,21-Jan,20:25,08:05 + 1 day,New Delhi,Port Blair,1 Stop,11h 40m,"10,299"
59,IndiGo,21-Jan,2:30,13:30,New Delhi,Port Blair,1 Stop,11h 00m,"11,515"
60,Air Asia,23-Dec,12:50,16:40,New Delhi,Imphal,1 Stop,3h 50m,"4,790"
61,IndiGo,23-Dec,11:20,14:10,New Delhi,Imphal,Non Stop,2h 50m,"4,840"
